Country (or dependent territory),1980,1981,1982,1983,1984,1985,1986,1987,1988,1989
Japan,"8,736","9,906","10,820","11,510","12,377","13,477","14,110","14,981","16,535","18,038"
Jordan,"3,693","4,557","4,986","4,880","5,073","4,903","5,080","5,131","5,187","4,631"
Kazakhstan,,,,,,,,,,
Kenya,"1,019","1,118","1,203","1,229","1,250","1,298","1,370","1,438","1,527","1,604"
Kiribati,953,"1,006","1,141","1,138","1,213","1,159","1,140","1,036","1,152","1,134"
South Korea,"2,184","2,520","2,853","3,309","3,738","4,116","4,624","5,281","6,056","6,668"
Kosovo,,,,,,,,,,
Kuwait,"33,082","28,057","25,795","26,979","28,775","26,759","27,990","29,408","26,010","32,399"
Kyrgyzstan,,,,,,,,,,
Laos,600,742,807,842,904,991,"1,030","1,017","1,002","1,112"
Latvia,,,,,,,,,,
Lebanon,"6,013","6,661","4,488","5,725","8,565","10,864","10,180","12,052","8,858","5,263"
Lesotho,540,593,648,677,745,776,803,804,873,930
Liberia,,,,,,,,,,
Libya,"31,782","26,563","27,349","25,997","23,661","24,703","21,503","18,038","17,802","18,964"
Lithuania,,,,,,,,,,
Luxembourg,"15,611","17,153","18,392","19,478","21,106","22,957","25,638","27,155","30,223","34,137"
Macau,,,,,,,,,,
Macedonia,,,,,,,,,,
Madagascar,895,859,872,891,915,930,940,948,985,"1,034"
Malawi,368,371,393,413,435,449,433,424,426,427
Malaysia,"3,300","3,766","4,132","4,452","4,847","4,803","4,824","5,082","5,642","6,242"
Maldives,"1,470","1,669","1,846","1,933","2,270","2,563","2,735","2,976","3,264","3,613"
Mali,556,568,523,550,571,598,637,660,674,762
Malta,"6,103","6,793","7,179","7,381","7,767","8,138","8,393","9,033","9,919","10,930"
Marshall Islands,,,,,,,,,,
Mauritania,,,,,,,,,,
Mauritius,"1,945","2,219","2,456","2,539","2,726","2,983","3,314","3,716","4,079","4,393"
Mexico,"5,561","6,448","6,662","6,541","6,857","7,082","6,859","7,010","7,201","7,632"
Federated States of Micronesia,,,,,,,,,,
Moldova,,,,,,,,,,
Mongolia,,,,,,,,,,
Montenegro,,,,,,,,,,
