Country (or dependent territory),2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Jordan,"10,905","11,169","11,422","11,676","11,986","12,135","12,264","12,494","12,813","13,151"
Kazakhstan,"19,530","21,129","22,278","23,645","24,734","24,940","25,167","26,252","27,293","28,255"
Kenya,"2,605","2,750","2,842","2,978","3,104","3,227","3,364","3,491","3,664","3,861"
Kiribati,"1,547","1,583","1,665","1,741","1,738","1,912","1,920","1,976","2,027","2,079"
South Korea,"29,738","31,229","32,362","33,684","35,212","36,395","37,730","39,434","41,388","43,342"
Kosovo,"7,788","8,173","8,531","8,930","9,066","9,561","10,071","10,515","11,019","11,535"
Kuwait,"60,947","66,853","71,326","71,150","70,218","66,956","68,540","66,163","66,673","68,823"
Kyrgyzstan,"2,719","2,901","2,894","3,198","3,318","3,412","3,517","3,667","3,800","3,994"
Laos,"4,382","4,761","5,153","5,577","6,022","6,430","6,871","7,366","7,932","8,550"
Latvia,"17,856","19,817","21,302","22,402","23,487","24,637","25,725","27,644","29,490","31,279"
Lebanon,"16,104","16,430","17,038","17,770","18,451","18,803","19,050","19,439","19,987","20,590"
Lesotho,"2,560","2,780","2,963","3,068","3,208","3,296","3,425","3,581","3,713","3,857"
Liberia,"1,117","1,197","1,288","1,388","1,387","1,366","1,329","1,354","1,396","1,458"
Libya,"31,094","10,792","23,282","14,987","7,175","6,246","5,801","9,986","11,774","12,073"
Lithuania,"20,552","22,752","24,382","25,904","27,537","28,671","30,097","32,299","34,596","36,981"
Luxembourg,"90,662","92,970","92,102","94,824","99,738","101,255","103,286","106,374","110,870","114,825"
Macau,"93,528","115,105","122,620","132,739","127,476","99,377","100,070","111,629","122,490","133,161"
Macedonia,"11,564","12,064","12,215","12,754","13,432","14,087","14,665","14,914","15,662","16,462"
Madagascar,"1,362","1,372","1,400","1,414","1,446","1,466","1,505","1,551","1,622","1,703"
Malawi,977,"1,016","1,025","1,065","1,114","1,127","1,134","1,167","1,201","1,246"
Malaysia,"20,336","21,498","22,742","23,631","25,089","26,228","27,292","29,041","30,858","32,674"
Maldives,"13,413","14,599","14,964","16,017","17,248","17,533","18,246","19,151","20,228","21,345"
Mali,"1,823","1,863","1,826","1,843","1,945","2,017","2,091","2,170","2,256","2,336"
Malta,"28,609","29,519","30,682","32,247","34,921","37,885","39,510","41,945","44,670","47,171"
Marshall Islands,"2,862","3,008","3,140","3,155","3,188","3,272","3,367","3,439","3,524","3,603"
Mauritania,"3,571","3,720","3,911","4,116","4,321","4,305","4,328","4,444","4,564","4,766"
Mauritius,"15,297","16,194","16,977","17,762","18,698","19,537","20,542","21,640","22,910","24,248"
Mexico,"15,811","16,522","17,235","17,549","18,170","18,765","19,356","19,903","20,617","21,499"
Federated States of Micronesia,"2,939","3,040","3,053","3,013","2,990","3,134","3,268","3,393","3,516","3,621"
Moldova,"3,833","4,180","4,226","4,700","5,017","5,054","5,340","5,661","5,999","6,366"
Mongolia,"7,437","8,802","9,880","11,043","11,948","12,183","12,307","12,979","13,734","14,698"
Montenegro,"13,566","14,273","14,129","14,852","15,374","16,057","16,731","17,736","18,682","19,532"
Morocco,"6,452","6,846","7,095","7,446","7,692","8,045","8,160","8,567","8,936","9,400"
Mozambique,896,952,"1,010","1,069","1,137","1,192","1,219","1,244","1,275","1,300"
Myanmar,"3,679","3,933","4,263","4,656","5,074","5,443","5,790","6,244","6,802","7,412"
Namibia,"8,641","9,132","9,592","10,104","10,734","11,284","11,335","11,312","11,613","12,151"
Nauru,"5,363","6,048","6,590","8,617","10,933","10,796","11,540","12,002","12,220","12,350"
Nepal,"1,946","2,031","2,142","2,239","2,387","2,464","2,477","2,679","2,842","2,984"
Netherlands,"44,839","46,309","46,491","47,015","48,364","49,780","51,249","53,635","56,436","58,873"
New Zealand,"31,258","32,311","33,543","34,443","35,546","36,681","37,877","38,934","40,118","41,340"
Nicaragua,"3,947","4,231","4,535","4,780","5,041","5,283","5,540","5,849","6,192","6,536"
Niger,866,876,968,"1,004","1,066","1,086","1,121","1,164","1,214","1,268"
Nigeria,"5,128","5,342","5,522","5,755","6,062","6,122","5,936","5,929","6,027","6,108"
Norway,"61,602","62,656","64,700","65,673","67,377","68,796","69,807","71,831","74,065","76,406"
Oman,"46,828","45,561","46,138","44,802","45,316","47,204","45,848","45,157","45,723","47,184"
Pakistan,"4,133","4,282","4,437","4,582","4,758","4,908","5,095","5,358","5,677","5,959"
Palau,"11,353","12,411","13,503","13,371","14,299","16,041","15,968","15,934","16,296","17,144"
Panama,"15,670","17,585","19,234","20,498","21,772","22,917","23,995","25,351","26,980","28,749"
Papua New Guinea,"2,892","2,830","2,861","2,954","3,313","3,540","3,597","3,675","3,789","3,893"
Paraguay,"7,078","7,423","7,353","8,393","8,815","9,041","9,387","9,826","10,350","10,855"
Peru,"9,516","10,263","10,954","11,632","11,997","12,390","12,918","13,334","13,994","14,704"
Philippines,"5,550","5,774","6,122","6,546","6,953","7,332","7,810","8,315","8,893","9,512"
Poland,"21,084","22,575","23,360","24,068","25,335","26,602","27,741","29,521","31,430","33,265"
Portugal,"26,496","26,588","26,093","26,359","27,218","28,131","29,042","30,417","31,965","33,360"
Puerto Rico,"33,238","34,196","35,260","36,131","36,940","37,570","37,741","37,339","38,351","39,520"
Qatar,"127,226","145,724","146,872","142,543","136,410","129,805","125,160","124,529","128,703","133,358"
Romania,"16,471","17,233","17,859","18,860","19,855","20,950","22,369","24,508","26,499","28,190"
Russia,"22,639","24,259","25,592","26,440","27,072","26,658","26,930","27,834","28,958","30,040"
Rwanda,"1,358","1,465","1,577","1,641","1,754","1,884","1,973","2,080","2,225","2,392"
Samoa,"4,630","4,950","5,022","4,964","5,072","5,172","5,552","5,740","5,963","6,207"
San Marino,"65,841","60,553","56,662","55,796","55,940","56,434","57,965","59,466","61,169","62,827"
São Tomé and Príncipe,"2,529","2,631","2,727","2,817","2,912","2,986","3,074","3,180","3,338","3,519"
Saudi Arabia,"44,163","48,288","50,384","51,167","52,639","54,956","55,292","54,777","55,859","57,042"
Senegal,"2,138","2,158","2,229","2,277","2,342","2,448","2,572","2,727","2,901","3,082"
Serbia,"12,110","12,628","12,792","13,398","13,454","13,773","14,415","15,000","15,942","16,925"
Seychelles,"19,520","21,553","22,536","23,834","24,969","25,988","27,308","28,779","30,084","31,451"
Sierra Leone,"1,209","1,282","1,470","1,763","1,818","1,430","1,506","1,553","1,608","1,698"
Singapore,"70,657","75,113","77,691","81,648","85,227","87,043","89,103","93,905","98,014","101,963"
Slovakia,"24,555","25,759","26,610","27,409","28,642","30,037","31,403","33,025","35,095","37,328"
Slovenia,"28,055","28,774","28,449","28,535","29,879","30,859","32,216","34,407","36,566","38,525"
Solomon Islands,"1,643","1,858","1,936","1,982","2,017","2,046","2,097","2,157","2,224","2,288"
Somalia,,,,,,,,,,
South Africa,"11,816","12,281","12,600","12,930","13,204","13,311","13,345","13,545","13,840","14,156"
South Sudan,,"3,562","1,644","2,063","2,066","1,995","1,657","1,503","1,408","1,375"
Spain,"32,252","32,467","32,075","32,156","33,283","34,756","36,347","38,171","39,944","41,678"
Sri Lanka,"8,274","9,092","10,049","10,475","11,116","11,700","12,285","13,001","13,795","14,680"
Saint Kitts and Nevis,"21,291","21,283","21,245","22,729","24,036","25,185","26,001","26,849","27,987","29,159"
Saint Lucia,"12,035","12,580","12,596","12,698","12,698","13,004","13,219","13,579","14,138","14,651"
Saint Vincent and the Grenadines,"9,639","9,852","10,154","10,564","10,771","10,971","11,190","11,623","12,163","12,777"
Sudan,"3,618","4,484","4,126","4,276","4,289","4,412","4,469","4,580","4,700","4,830"
Suriname,"13,792","14,658","15,282","15,837","16,036","15,633","13,985","13,876","14,124","14,520"
Swaziland,"8,268","8,503","8,853","9,317","9,712","9,808","9,814","9,882","9,854","9,944"
Sweden,"42,022","43,719","44,058","44,907","46,410","48,316","49,759","51,264","52,882","54,556"
Switzerland,"53,267","54,774","55,733","57,104","58,814","59,430","60,374","61,360","62,693","64,284"
Syria,"6,375",,,,,,,,,
Taiwan,"38,593","40,777","42,220","43,739","46,195","46,915","48,119","49,827","51,637","53,694"
Tajikistan,"2,070","2,216","2,376","2,540","2,702","2,836","3,007","3,131","3,251","3,382"
Tanzania,"2,141","2,301","2,407","2,572","2,745","2,910","3,090","3,283","3,505","3,747"
Thailand,"13,188","13,514","14,690","15,259","15,593","16,182","16,885","17,786","18,734","19,764"
Timor-Leste,"6,614","7,411","7,732","6,828","5,015","5,987","5,442","5,008","4,986","4,759"
Togo,"1,206","1,255","1,318","1,383","1,445","1,497","1,550","1,611","1,684","1,765"
Tonga,"4,495","4,660","4,681","4,717","4,928","5,147","5,359","5,605","5,881","6,168"
Trinidad and Tobago,"30,629","31,013","31,831","33,039","33,284","33,313","31,775","31,154","32,194","33,441"
Tunisia,"10,315","10,204","10,694","11,020","11,355","11,487","11,631","11,987","12,463","13,047"
Turkey,"16,900","18,909","19,938","21,683","22,905","24,236","24,986","26,453","27,635","28,935"
Turkmenistan,"9,827","11,361","12,684","14,017","15,527","16,477","17,481","18,680","19,961","21,135"
Tuvalu,"2,802","3,047","2,946","3,097","3,183","3,498","3,636","3,804","3,960","4,118"
Uganda,"1,920","2,026","2,044","2,112","2,185","2,267","2,281","2,352","2,449","2,566"
Ukraine,"7,712","8,328","8,517","8,676","8,733","7,997","8,320","8,656","9,125","9,670"
United Arab Emirates,"56,458","59,502","61,837","64,537","65,877","67,127","68,092","68,245","69,896","71,478"
United Kingdom,"35,869","36,853","37,774","38,873","40,476","41,483","42,421","43,620","44,822","46,188"
United States,"48,310","49,734","51,403","52,742","54,668","56,437","57,608","59,495","61,687","63,810"
Uruguay,"16,627","17,763","18,655","19,756","20,681","20,902","21,395","22,445","23,504","24,662"
Uzbekistan,"4,116","4,455","4,803","5,185","5,638","6,082","6,561","6,990","7,466","7,987"
Vanuatu,"2,471","2,495","2,527","2,560","2,606","2,616","2,694","2,800","2,901","2,998"
Venezuela,"16,497","17,286","18,328","18,607","17,950","16,786","14,016","12,388","11,723","11,591"
Vietnam,"4,396","4,717","5,001","5,300","5,657","6,035","6,423","6,876","7,378","7,925"
Yemen,"4,246","3,672","3,718","3,845","3,793","2,676","2,374","2,300","2,476","2,794"
Zambia,"3,197","3,343","3,553","3,679","3,802","3,836","3,896","3,997","4,129","4,274"
Zimbabwe,"1,633","1,921","2,120","2,205","2,249","2,247","2,233","2,277","2,282","2,278"
