Country (or dependent territory),2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Afghanistan,"1,561","1,655","1,875","1,966","2,007","2,009","1,923","1,958","2,024","2,101"
Albania,"9,386","9,850","10,190","10,478","10,878","11,273","11,821","12,507","13,274","14,096"
Algeria,"12,668","13,027","13,432","13,737","14,212","14,581","14,955","15,237","15,758","16,246"
Angola,"5,893","6,066","6,308","6,649","6,881","6,955","6,783","6,753","6,850","6,958"
Antigua and Barbuda,"21,050","20,813","21,703","21,799","23,074","24,013","25,347","26,232","27,471","28,601"
Argentina,"18,529","19,817","19,750","20,322","19,947","20,492","20,156","20,876","21,529","22,455"
Armenia,"6,370","6,803","7,418","7,761","8,170","8,513","8,643","9,456","9,999","10,572"
Australia,"41,675","43,016","44,692","45,640","46,968","47,962","49,096","50,334","52,191","54,127"
Austria,"42,541","44,542","45,466","45,935","46,778","47,328","48,014","49,869","51,936","53,700"
Azerbaijan,"15,995","15,861","16,271","17,277","17,824","17,915","17,378","17,492","18,036","18,912"
Bahamas,"29,986","30,452","31,618","31,593","31,410","30,435","30,534","31,139","32,283","33,336"
Bahrain,"39,953","42,963","44,862","46,359","46,946","46,827","47,115","48,505","50,103","51,355"
Bangladesh,"2,592","2,785","2,979","3,171","3,396","3,630","3,901","4,211","4,761","5,335"
Barbados,"16,265","16,688","17,004","17,134","17,418","17,734","18,214","18,664","19,146","19,676"
Belarus,"15,890","17,153","17,797","18,267","18,894","18,342","18,074","18,931","20,008","21,048"
Belgium,"40,122","41,077","41,647","42,168","43,338","44,201","45,124","46,553","48,258","49,877"
Belize,"7,668","7,785","8,018","7,994","8,295","8,481","8,329","8,324","8,445","8,577"
Benin,"1,782","1,821","1,890","2,003","2,111","2,121","2,175","2,277","2,405","2,546"
Bhutan,"5,817","6,407","6,822","7,066","7,359","7,769","8,234","8,744","9,427","10,193"
Bolivia,"5,298","5,599","5,900","6,303","6,663","6,955","7,229","7,547","7,901","8,247"
Bosnia and Herzegovina,"9,440","9,810","10,031","10,557","10,989","11,547","12,136","12,724","13,443","14,222"
Botswana,"12,839","13,734","14,439","16,145","16,916","16,613","17,345","17,828","18,843","19,886"
Brazil,"14,338","15,070","15,499","16,079","16,309","15,769","15,295","15,603","16,199","16,852"
Brunei,"79,303","82,568","83,660","82,053","80,221","79,638","77,422","78,196","79,726","86,874"
Bulgaria,"15,670","16,695","17,107","17,627","18,292","19,289","20,453","21,687","23,154","24,529"
Burkina Faso,"1,392","1,470","1,548","1,616","1,667","1,700","1,793","1,889","1,994","2,102"
Burundi,711,732,755,788,814,767,745,735,731,728
Cape Verde,"5,883","6,206","6,195","6,268","6,342","6,396","6,643","6,944","7,316","7,677"
Cambodia,"2,460","2,646","2,840","3,055","3,281","3,502","3,741","4,012","4,322","4,645"
Cameroon,"2,807","2,910","3,023","3,159","3,322","3,461","3,572","3,660","3,799","3,957"
Canada,"39,844","41,524","42,537","43,787","45,345","45,885","46,606","48,265","49,775","51,396"
Central African Republic,883,913,949,599,604,628,652,677,706,736
Chad,"2,195","2,188","2,366","2,480","2,633","2,642","2,443","2,344","2,421","2,481"
Chile,"19,951","21,306","22,547","23,543","24,107","24,646","25,005","25,667","26,905","28,193"
China,"9,252","10,290","11,252","12,265","13,327","14,330","15,397","16,660","18,066","19,551"
Colombia,"10,776","11,587","12,136","12,785","13,432","13,835","14,138","14,485","15,055","15,712"
Comoros,"1,453","1,477","1,508","1,544","1,560","1,552","1,563","1,588","1,629","1,670"
Democratic Republic of the Congo,563,597,632,676,732,768,773,790,814,839
Republic of the Congo,"6,253","6,438","6,642","6,800","7,215","7,302","7,011","6,642","6,676","6,962"
Costa Rica,"12,769","13,422","14,139","14,504","15,030","15,546","16,258","16,877","17,669","18,480"
Ivory Coast,"2,603","2,480","2,711","2,934","3,167","3,396","3,631","3,883","4,155","4,430"
Croatia,"19,506","20,483","20,450","20,703","21,144","22,052","23,227","24,424","25,807","27,188"
Cyprus,"34,966","34,923","33,588","31,962","32,373","33,806","35,220","37,023","38,980","40,752"
Czech Republic,"27,559","28,561","28,803","29,097","30,434","32,318","33,529","35,512","37,546","39,478"
Denmark,"41,958","43,194","43,933","44,882","46,223","47,202","48,339","49,883","51,643","53,377"
Djibouti,"2,544","2,710","2,814","2,921","3,066","3,211","3,369","3,559","3,778","4,007"
Dominica,"10,083","10,275","10,352","10,600","11,242","10,949","11,381","11,102","9,506","10,899"
Dominican Republic,"11,381","11,849","12,275","12,927","14,018","15,021","16,071","16,944","18,116","19,244"
Ecuador,"9,116","9,869","10,444","10,958","11,395","11,352","11,144","11,482","11,865","12,215"
Egypt,"10,851","11,022","11,210","11,448","11,717","12,042","12,551","12,671","13,330","14,046"
El Salvador,"7,158","7,431","7,673","7,903","8,120","8,357","8,623","8,948","9,319","9,696"
Equatorial Guinea,"45,141","47,719","51,187","48,499","47,701","42,648","37,985","36,017","32,855","31,806"
Eritrea,"1,196","1,296","1,380","1,435","1,470","1,493","1,509","1,581","1,653","1,721"
Estonia,"21,721","23,919","25,494","26,508","27,856","28,685","29,685","31,750","33,842","35,795"
Ethiopia,"1,111","1,243","1,354","1,489","1,645","1,807","1,945","2,161","2,361","2,572"
Fiji,"7,293","7,608","7,821","8,284","8,864","9,263","9,375","9,777","10,304","10,837"
Finland,"38,741","40,378","40,340","40,490","40,772","41,115","42,408","44,333","46,343","48,104"
France,"37,284","38,657","39,251","39,912","40,802","41,508","42,367","43,761","45,474","47,185"
Gabon,"15,326","16,138","16,665","17,196","18,020","18,655","19,018","19,254","19,952","20,855"
Gambia,"1,611","1,525","1,589","1,640","1,633","1,670","1,677","1,713","1,790","1,865"
Georgia,"6,568","7,287","8,002","8,526","9,211","9,602","10,053","10,747","11,481","12,285"
Germany,"40,851","43,249","44,266","45,127","46,628","47,430","48,532","50,425","52,801","54,987"
Ghana,"3,100","3,519","3,819","4,061","4,191","4,290","4,394","4,729","5,013","5,374"
Greece,"28,962","26,850","25,433","25,194","26,018","26,390","26,845","27,737","29,058","30,352"
Grenada,"10,952","11,221","11,252","11,655","12,688","13,598","14,223","14,926","15,753","16,604"
Guatemala,"6,578","6,844","7,026","7,249","7,529","7,766","7,945","8,145","8,429","8,747"
Guinea,"1,530","1,607","1,690","1,740","1,791","1,828","1,926","2,041","2,154","2,273"
Guinea-Bissau,"1,462","1,578","1,546","1,587","1,596","1,675","1,755","1,845","1,948","2,054"
Guyana,"5,669","6,076","6,469","6,890","7,254","7,533","7,874","8,161","8,616","9,097"
Haiti,"1,472","1,562","1,614","1,686","1,741","1,758","1,784","1,815","1,870","1,946"
Honduras,"4,249","4,434","4,632","4,769","4,932","5,104","5,288","5,562","5,802","6,058"
Hong Kong,"46,948","49,819","51,157","53,299","55,431","56,924","58,345","61,393","64,533","67,470"
Hungary,"22,031","22,923","23,087","24,007","25,553","26,757","27,770","29,474","31,370","33,098"
Iceland,"38,594","40,023","41,005","42,953","44,221","46,147","49,683","51,842","54,121","56,309"
India,"4,425","4,750","5,034","5,371","5,797","6,255","6,697","7,183","7,784","8,461"
Indonesia,"8,433","8,974","9,554","10,108","10,662","11,157","11,719","12,377","13,162","14,010"
Iran,"17,518","18,184","16,890","16,906","17,417","17,107","19,256","20,200","21,241","22,320"
Iraq,"12,380","13,248","14,986","15,978","15,207","15,712","17,219","16,954","17,429","18,216"
Ireland,"43,291","45,359","46,058","47,422","52,134","65,656","69,248","75,538","79,925","84,084"
Israel,"28,997","30,569","31,236","32,464","33,546","34,117","35,220","36,340","37,673","39,107"
Italy,"34,767","35,544","35,052","34,805","35,311","36,026","36,877","38,140","39,500","40,825"
Jamaica,"8,075","8,319","8,386","8,492","8,647","8,767","8,963","9,163","9,463","9,792"
Japan,"35,157","35,775","37,060","38,478","39,381","40,392","41,297","42,832","44,426","45,949"
